kind,city,state,county,latitude,longitude,population
city,Daleville,AL,,31.291533,-85.711711,
city,Daphne,AL,,30.627702,-87.883992,
city,Dauphin Island,AL,,30.250913,-88.171268,
city,Daviston,AL,,33.056839,-85.634329,
city,Dayton,AL,,32.350958,-87.641573,
city,Deatsville,AL,,32.589044,-86.389059,
city,Decatur,AL,,34.572995,-86.989901,
city,Deer Park,AL,,31.218369,-88.328023,
city,Delta,AL,,33.440524,-85.675905,
city,Demopolis,AL,,32.499744,-87.826678,
city,Detroit,AL,,34.027379,-88.167831,
city,Dodge City,AL,,34.043275,-86.885524,
city,Dora,AL,,33.728116,-87.081292,
city,Dothan,AL,,31.233698,-85.406823,
city,Double Springs,AL,,34.149648,-87.389447,
city,Douglas,AL,,34.168258,-86.323386,
city,Dozier,AL,,31.505407,-86.369235,
city,Dunnavant,AL,,33.495011,-86.540481,
city,Dutton,AL,,34.606152,-85.911850,
city,Eagle Point,AL,,33.400912,-86.676753,
city,East Brewton,AL,,31.091440,-87.055345,
city,East Point,AL,,34.190880,-86.791899,
city,Eclectic,AL,,32.640222,-86.041062,
city,Edgewater,AL,,33.530099,-86.952790,
city,Edwardsville,AL,,33.883740,-85.414124,
city,Egypt,AL,,34.075938,-86.165054,
city,Elba,AL,,31.417218,-86.077115,
city,Elberta,AL,,30.373753,-87.595729,
city,Eldridge,AL,,33.922018,-87.620108,
city,Elkmont,AL,,34.932604,-86.976971,
city,Elmore,AL,,32.556606,-86.341025,
city,Emelle,AL,,32.728678,-88.316486,
city,Emerald Mountain,AL,,32.447694,-86.094381,
city,Enterprise,AL,,31.326898,-85.844021,
city,Epes,AL,,32.695049,-88.141963,
city,Equality,AL,,32.765659,-86.123185,
city,Ethelsville,AL,,33.414066,-88.216093,
city,Eufaula,AL,,31.909937,-85.152709,
city,Eunola,AL,,31.031391,-85.833966,
city,Eutaw,AL,,32.846247,-87.900332,
city,Eva,AL,,34.326504,-86.765318,
city,Evergreen,AL,,31.433216,-86.976081,
city,Excel,AL,,31.426386,-87.343663,
city,Fairfield,AL,,33.474778,-86.919413,
city,Fairford,AL,,31.178002,-88.072784,
city,Fairhope,AL,,30.520920,-87.879122,
city,Fairview,AL,,34.250195,-86.677724,
city,Falkville,AL,,34.377019,-86.909547,
city,Faunsdale,AL,,32.457614,-87.593789,
city,Fayette,AL,,33.694215,-87.831169,
city,Fayetteville,AL,,33.168097,-86.442774,
city,Fitzpatrick,AL,,32.210377,-85.873693,
city,Five Points,AL,,33.017311,-85.351592,
city,Flomaton,AL,,31.014816,-87.256016,
city,Florala,AL,,31.022391,-86.318152,
city,Florence,AL,,34.830323,-87.666139,
city,Foley,AL,,30.397009,-87.664211,
city,Forestdale,AL,,33.573701,-86.900047,
city,Forkland,AL,,32.647435,-87.867436,
city,Fort Deposit,AL,,31.986261,-86.566359,
city,Fort Payne,AL,,34.457329,-85.689447,
city,Fort Rucker,AL,,31.342576,-85.716072,
